"experiment_id"	"Harvest.Date"	"Run"	"Plate"	"Column"	"Row"	"species"	"normalized_OD"	"qpcr_4plex_Cy5.356."	"qpcr_3plex_TR.360."	"qpcr_3plex_FAM.361."	"qpcr_4plex_FAM.492."	"qpcr_3plex_HEX.500."	"qpcr_4plex_TR.502."	"qpcr_4plex_HEX.519."	"nmr_row"	"nmr_column"	"nmr_rack"	"nmr_position"
"352A"	"1/12/2017"	"3"	5	2	"A"	"360,519"	0.248091677	7.05919e-07	0.311308757	NA	NA	3.04983e-05	2.906e-05	73.91196876	"A"	2	2	"2A2"
"422B"	"12/16/2016"	"4"	2	2	"B"	"361,519"	0.054141663	NA	NA	NA	NA	NA	NA	NA	"A"	3	2	"2A3"
"121B"	"1/10/2017"	"1"	2	1	"B"	"500"	0.048766663	1.2945e-05	3.88454e-05	1.22312e-05	NA	12.39767118	NA	4.98088e-05	"A"	4	2	"2A4"
"424B"	"12/16/2016"	"4"	2	4	"B"	"356,361,519"	0.081641667	NA	NA	NA	NA	NA	NA	NA	"A"	5	2	"2A5"
"163B"	"1/10/2017"	"1"	6	3	"B"	"492,500"	0.091266667	2.75606e-09	NA	NA	2.295402983	0.049287086	NA	1.68163e-05	"A"	6	2	"2A6"
"364B"	"1/12/2017"	"3"	6	4	"B"	"492,502"	0.020891661	NA	NA	NA	0.087170603	NA	0.011350964	3.37241e-05	"A"	7	2	"2A7"
"371B"	"1/12/2017"	"3"	7	1	"B"	"492,519"	0.272191653	NA	NA	NA	0.047476133	NA	3.53457e-05	137.9426862	"A"	8	2	"2A8"
"363B"	"1/12/2017"	"3"	6	3	"B"	"492,500"	0.04549166	NA	NA	NA	0.169957147	8.259276518	NA	NA	"A"	9	2	"2A9"
"153B"	"1/10/2017"	"1"	5	3	"B"	"361,492"	0.02186667	1.81763e-08	3.23628e-05	2.343245338	0.04098611	3.66573e-05	NA	NA	"A"	10	2	"2A10"
"324A"	"1/12/2017"	"3"	2	4	"A"	"356,360"	0.174191663	3.50024874	0.201604944	NA	NA	NA	NA	0.000269444	"A"	11	2	"2A11"
